PedidoID,Cliente,DireccionEnvio,CategoriaProducto,CantidadArticulos,PrecioUnitario,MetodoPago,TiempoEntregaDias,MontoTotal,PedidosGrande,Sector,VelocidadEntrega
18,Gabriela Vargas,"Calle Duarte #177, Naco",1,2,15.57,Transferencia,2.0,31.14,0,Naco,Rapida
47,Rafael Pena,"Avenida 27 de Febrero #17, Los Prados",2,1,58.41,Efectivo,1.0,58.41,0,Los Prados,Rapida
4,Yolanda Reyes,"Calle Privada #134, Gazcue",1,4,110.82,Transferencia,6.0,443.28,1,Gazcue,Normal
11,Juan De los Santos,"Avenida Independencia #32, Naco",1,2,81.28,Tarjeta,3.0,162.56,1,Naco,Rapida
19,Maria Perez,"Avenida Tiradentes #47, Naco",3,5,63.15,Tarjeta,1.0,315.75,1,Naco,Rapida
65,Esperanza Ortiz,"Avenida Independencia #38, Evaristo Morales",2,1,135.22,Tarjeta,4.0,135.22,0,Evaristo Morales,Rapida
64,Yolanda Fernandez,"Calle Privada #82, Gazcue",1,2,65.22,Efectivo,4.0,130.44,0,Gazcue,Rapida
10,Carlos Castillo,"Avenida Tiradentes #14, Evaristo Morales",1,2,5.24,Tarjeta,3.0,10.48,0,Evaristo Morales,Rapida
24,Rosa Perez,"Avenida Lincoln #157, Gazcue",2,2,100.67,Tarjeta,6.0,201.34,1,Gazcue,Normal
20,Francisco Ortiz,"Calle Duarte #177, Gazcue",3,1,78.08,Tarjeta,1.0,78.08,0,Gazcue,Rapida
41,Yokasta Vargas,"Calle Pasteur #19, Evaristo Morales",1,5,132.57,Efectivo,1.0,662.85,1,Evaristo Morales,Rapida
25,Patricia Fernandez,"Avenida Independencia #62, Bella Vista",2,1,134.42,Efectivo,30.0,134.42,0,Bella Vista,Lenta
53,Carmen Fernandez,"Calle Pasteur #129, Los Prados",1,5,77.35,Efectivo,1.0,386.75,1,Los Prados,Rapida
39,Ana Mejia,"Avenida Independencia #19, Naco",1,5,106.84,Efectivo,7.0,534.2,1,Naco,Normal
66,Sofia Diaz,"Calle Pasteur #92, Gazcue",1,4,14.45,Tarjeta,2.0,57.8,0,Gazcue,Rapida
54,Marisol Perez,"Avenida Independencia #22, Bella Vista",2,1,94.71,Efectivo,3.0,94.71,0,Bella Vista,Rapida
17,Ana Reyes,"Avenida 27 de Febrero #144, Naco",1,1,94.99,Tarjeta,4.0,94.99,0,Naco,Rapida
23,Yokasta Perez,"Calle Privada #41, Los Prados",1,4,143.65,Efectivo,7.0,574.6,1,Los Prados,Normal
12,Carmen Vargas,"Calle Privada #154, Piantini",2,5,8.31,Efectivo,5.0,41.55,0,Piantini,Rapida
13,Carlos Martinez,"Avenida Independencia #83, Naco",1,2,47.95,Efectivo,25.0,95.9,0,Naco,Lenta
40,Manuel Pena,"Avenida Lincoln #179, Piantini",3,5,57.6,Efectivo,2.0,288.0,1,Piantini,Rapida
59,Valentina Lopez,"Avenida Independencia #9, Los Prados",2,2,75.81,Tarjeta,4.0,151.62,0,Los Prados,Rapida
45,Joel Garcia,"Calle Pasteur #195, Los Prados",1,1,114.11,Efectivo,5.0,114.11,0,Los Prados,Rapida
32,Yesenia Martinez,"Avenida Independencia #62, Los Prados",3,3,53.17,Tarjeta,7.0,159.51,0,Los Prados,Normal
14,Laura Mejia,"Calle Beller #28, Los Prados",2,2,9.23,Efectivo,3.0,18.46,0,Los Prados,Rapida
34,Antonio Garcia,"Calle Privada #125, Gazcue",1,1,126.13,Tarjeta,4.0,126.13,0,Gazcue,Rapida
36,Francisco Ortiz,"Avenida Independencia #151, Naco",2,2,140.07,Tarjeta,7.0,280.14,1,Naco,Normal
46,Marisol Ortiz,"Calle Pasteur #89, Evaristo Morales",3,2,36.91,Tarjeta,4.0,73.82,0,Evaristo Morales,Rapida
43,Pedro Castillo,"Calle Pasteur #158, Naco",1,2,70.03,Transferencia,6.0,140.06,0,Naco,Normal
62,Hector Pena,"Calle Socorro Sanchez #13, Piantini",1,5,53.92,Efectivo,3.0,269.6,1,Piantini,Rapida
68,Hector De los Santos,"Calle Socorro Sanchez #63, Los Prados",2,4,102.85,Tarjeta,5.0,411.4,1,Los Prados,Rapida
58,Marisol Diaz,"Calle Duarte #127, Piantini",1,5,40.42,Efectivo,2.0,202.1,1,Piantini,Rapida
67,Mercedes Castillo,"Calle Duarte #85, Bella Vista",1,1,140.31,Efectivo,4.0,140.31,0,Bella Vista,Rapida
8,Luis Vargas,"Calle Duarte #96, Naco",2,3,53.46,Efectivo,5.0,160.38,1,Naco,Rapida
21,Hector Sanchez,"Avenida Lincoln #150, Naco",1,3,9.99,Efectivo,1.0,29.97,0,Naco,Rapida
